Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Haut-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,68,3,8,274,Rimbach-près-Guebwiller,234,1,235
42,Alsace,68,6,15,275,Rimbach-près-Masevaux,489,9,498
42,Alsace,68,3,8,276,Rimbachzell,202,5,207
42,Alsace,68,5,12,277,Riquewihr,1164,40,1204
42,Alsace,68,4,9,278,Rixheim,13632,290,13922
42,Alsace,68,6,25,279,Roderen,898,19,917
42,Alsace,68,5,20,280,Rodern,334,12,346
42,Alsace,68,3,6,281,Roggenhouse,473,6,479
42,Alsace,68,1,5,282,Romagny,229,7,236
42,Alsace,68,5,23,283,Rombach-le-Franc,834,21,855
42,Alsace,68,1,7,284,Roppentzwiller,696,9,705
42,Alsace,68,5,20,285,Rorschwihr,392,12,404
42,Alsace,68,4,11,286,Rosenau,2223,32,2255
42,Alsace,68,3,21,287,Rouffach,4561,296,4857
42,Alsace,68,1,10,288,Ruederbach,367,13,380
42,Alsace,68,4,31,289,Ruelisheim,2320,62,2382
42,Alsace,68,3,6,291,Rumersheim-le-Haut,1122,26,1148
42,Alsace,68,3,6,290,Rustenhart,825,13,838
42,Alsace,68,6,22,292,Saint-Amarin,2338,55,2393
42,Alsace,68,1,1,81,Saint-Bernard,531,8,539
42,Alsace,68,1,5,293,Saint-Cosme,91,1,92
42,Alsace,68,5,20,296,Saint-Hippolyte,1028,19,1047
42,Alsace,68,4,11,297,Saint-Louis,19990,360,20350
42,Alsace,68,1,10,299,Saint-Ulrich,308,3,311
42,Alsace,68,5,23,294,Sainte-Croix-aux-Mines,2021,24,2045
42,Alsace,68,2,28,295,Sainte-Croix-en-Plaine,2794,56,2850
42,Alsace,68,5,23,298,Sainte-Marie-aux-Mines,5290,147,5437
42,Alsace,68,4,31,300,Sausheim,5454,135,5589
42,Alsace,68,4,13,301,Schlierbach,1137,39,1176
42,Alsace,68,6,3,302,Schweighouse-Thann,725,20,745
