"","Code.région","Nom.de.la.région","Code.département","Code.arrondissement","Code.canton","Code.commune","Nom.de.la.commune","Population.municipale","Population.comptée.à.part","Population.totale"
"173",42,"Alsace",67,4,20,67183,"Harskirchen",838,9,847
"174",42,"Alsace",67,7,26,67184,"Hatten",1939,30,1969
"175",42,"Alsace",67,4,21,67185,"Hattmatt",667,16,683
"176",42,"Alsace",67,7,35,67186,"Hegeney",393,1,394
"177",42,"Alsace",67,5,12,67187,"Heidolsheim",474,9,483
"178",42,"Alsace",67,3,14,67188,"Heiligenberg",646,9,655
"179",42,"Alsace",67,5,1,67189,"Heiligenstein",962,19,981
"180",42,"Alsace",67,4,13,67190,"Hengwiller",181,1,182
"181",42,"Alsace",67,4,20,67191,"Herbitzheim",1886,34,1920
"182",42,"Alsace",67,5,2,67192,"Herbsheim",912,9,921
"183",42,"Alsace",67,2,3,67194,"Herrlisheim",4808,60,4868
"184",42,"Alsace",67,5,12,67195,"Hessenheim",588,6,594
"185",42,"Alsace",67,5,12,67196,"Hilsenheim",2551,122,2673
"186",42,"Alsace",67,5,7,67197,"Hindisheim",1404,26,1430
"187",42,"Alsace",67,4,17,67198,"Hinsbourg",119,3,122
"188",42,"Alsace",67,4,20,67199,"Hinsingen",84,1,85
"189",42,"Alsace",67,5,7,67200,"Hipsheim",865,28,893
"190",42,"Alsace",67,4,6,67201,"Hirschland",332,6,338
"191",42,"Alsace",67,6,10,67202,"Hochfelden",3505,43,3548
"192",42,"Alsace",67,2,9,67203,"Hochstett",316,7,323
"193",42,"Alsace",67,6,44,67204,"Hoenheim",11031,133,11164
"194",42,"Alsace",67,6,5,67205,"Hoerdt",4408,68,4476
"195",42,"Alsace",67,7,26,67206,"Hoffen",1163,21,1184
"196",42,"Alsace",67,6,10,67207,"Hohatzenheim",207,1,208
"197",42,"Alsace",67,4,13,67208,"Hohengoeft",522,5,527
"198",42,"Alsace",67,6,10,67209,"Hohfrankenheim",258,2,260
"199",42,"Alsace",67,5,1,67210,"Le Hohwald",509,18,527
"200",42,"Alsace",67,6,8,67212,"Holtzheim",3394,32,3426
"201",42,"Alsace",67,7,26,67213,"Hunspach",661,20,681
"202",42,"Alsace",67,6,31,67214,"Hurtigheim",575,5,580
"203",42,"Alsace",67,2,9,67215,"Huttendorf",478,7,485
"204",42,"Alsace",67,5,2,67216,"Huttenheim",2591,44,2635
"205",42,"Alsace",67,5,7,67217,"Ichtratzheim",270,1,271
"206",42,"Alsace",67,6,42,67218,"Illkirch-Graffenstaden",26379,786,27165
"207",42,"Alsace",67,6,10,67220,"Ingenheim",326,1,327
"208",42,"Alsace",67,7,26,67221,"Ingolsheim",285,5,290
"209",42,"Alsace",67,4,4,67222,"Ingwiller",4242,52,4294
"210",42,"Alsace",67,5,16,67223,"Innenheim",1132,14,1146
"211",42,"Alsace",67,6,10,67225,"Issenhausen",109,4,113
"212",42,"Alsace",67,6,43,67226,"Ittenheim",2170,38,2208
"213",42,"Alsace",67,5,1,67227,"Itterswiller",263,8,271
"214",42,"Alsace",67,4,13,67229,"Jetterswiller",196,2,198
"215",42,"Alsace",67,2,9,67230,"Kaltenhouse",2240,23,2263
"216",42,"Alsace",67,2,3,67231,"Kauffenheim",215,2,217
"217",42,"Alsace",67,7,26,67232,"Keffenach",203,10,213
"218",42,"Alsace",67,5,2,67233,"Kertzfeld",1293,19,1312
"219",42,"Alsace",67,4,20,67234,"Keskastel",1612,33,1645
"220",42,"Alsace",67,7,25,67235,"Kesseldorf",428,4,432
"221",42,"Alsace",67,6,31,67236,"Kienheim",582,15,597
"222",42,"Alsace",67,6,5,67237,"Kilstett",2489,36,2525
