Populations légales des communes en vigueur au 1er janvier 2015,,,,,,,,,
Mise à jour : décembre 2014,,,,,,,,,
en habitant,,,,,,,,,
"Champ : Département du Bas-Rhin, limites territoriales en vigueur au 1er janvier 2014",,,,,,,,,
Date de référence statistique : 1er janvier 2012,,,,,,,,,
Source :,"Insee, Recensement de la population 2012",,,,,,,,
,,,,,,,,,
Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
42,Alsace,67,4,20,199,Hinsingen,84,1,85
42,Alsace,67,5,7,200,Hipsheim,865,28,893
42,Alsace,67,4,6,201,Hirschland,332,6,338
42,Alsace,67,6,10,202,Hochfelden,3505,43,3548
42,Alsace,67,2,9,203,Hochstett,316,7,323
42,Alsace,67,6,44,204,Hoenheim,11031,133,11164
42,Alsace,67,6,5,205,Hoerdt,4408,68,4476
42,Alsace,67,7,26,206,Hoffen,1163,21,1184
42,Alsace,67,6,10,207,Hohatzenheim,207,1,208
42,Alsace,67,4,13,208,Hohengoeft,522,5,527
42,Alsace,67,6,10,209,Hohfrankenheim,258,2,260
42,Alsace,67,5,1,210,Le Hohwald,509,18,527
42,Alsace,67,6,8,212,Holtzheim,3394,32,3426
42,Alsace,67,7,26,213,Hunspach,661,20,681
42,Alsace,67,6,31,214,Hurtigheim,575,5,580
42,Alsace,67,2,9,215,Huttendorf,478,7,485
42,Alsace,67,5,2,216,Huttenheim,2591,44,2635
42,Alsace,67,5,7,217,Ichtratzheim,270,1,271
42,Alsace,67,6,42,218,Illkirch-Graffenstaden,26379,786,27165
42,Alsace,67,6,10,220,Ingenheim,326,1,327
42,Alsace,67,7,26,221,Ingolsheim,285,5,290
42,Alsace,67,4,4,222,Ingwiller,4242,52,4294
42,Alsace,67,5,16,223,Innenheim,1132,14,1146
42,Alsace,67,6,10,225,Issenhausen,109,4,113
42,Alsace,67,6,43,226,Ittenheim,2170,38,2208
42,Alsace,67,5,1,227,Itterswiller,263,8,271
42,Alsace,67,4,13,229,Jetterswiller,196,2,198
42,Alsace,67,2,9,230,Kaltenhouse,2240,23,2263
42,Alsace,67,2,3,231,Kauffenheim,215,2,217
42,Alsace,67,7,26,232,Keffenach,203,10,213
42,Alsace,67,5,2,233,Kertzfeld,1293,19,1312
42,Alsace,67,4,20,234,Keskastel,1612,33,1645
42,Alsace,67,7,25,235,Kesseldorf,428,4,432
